"Compound name","Smiles","logkp (cm/s)","skin donor type","skin source site","used layer","skin preparation","storage temperature (°C)","storage duration (days)","neat","donor/skin surface temperature (°C)","donor pH","donor type","acceptor temperature (°C)","acceptor pH","acceptor type","cell type","flux","notes","reference","DOI"
"Flufenamic acid","OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F","-6.194","Abdominoplasty","abdomen","epidermis","heat separation","-26","180","0","32","7.4","Sorensen buffer","32","7.4","PBS","Franz cell","","","Henning, 2008","10.1159/000112958"
"Flufenamic acid","OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F","-6.201","Abdominoplasty","abdomen","stratum corneum","trypsinisation","-26","180","0","32","7.4","Sorensen buffer","32","7.4","PBS","Franz cell","","","Henning, 2008","10.1159/000112958"
"Flufenamic acid","OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F","-6.094","Abdominoplasty","abdomen","dermis","heat separation","-26","180","0","32","7.4","Sorensen buffer","32","7.4","PBS","Franz cell","","","Henning, 2008","10.1159/000112958"
"Flufenamic acid","OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F","-6.111","Abdominoplasty","abdomen","epidermis, dermis","dermatomed 500um","-26","180","0","32","7.4","Sorensen buffer","32","7.4","PBS","Franz cell","","","Henning, 2008","10.1159/000112958"
"Fluocinonide","CC(=O)OCC(=O)[C@@]12OC(O[C@@H]1C[C@@H]1[C@]2(C)C[C@H](O)[C@]2([C@H]1C[C@@H](C1=CC(=O)C=C[C@]21C)F)F)(C)C","-6.326","Abdominoplasty or cadaver","","stratum corneum","trypsinisation","4","8.5 (7-10)","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","","","Anderson, 1988","10.1023/a:1015989929342"
"Fluocinonide","CC(=O)OCC(=O)[C@@]12OC(O[C@@H]1C[C@@H]1[C@]2(C)C[C@H](O)[C@]2([C@H]1C[C@@H](C1=CC(=O)C=C[C@]21C)F)F)(C)C","-6.326","Abdominoplasty or cadaver","","epidermis, dermis","dry heat separation","4","8.5 (7-10)","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","","","Anderson, 1988","10.1023/a:1015989929342"
"Flurbiprofen","OC(=O)C(c1ccc(c(c1)F)c1ccccc1)C","-5.331","Abdominoplasty","abdomen","epidermis","heat separation","-20","","0","37","7","PBS","37","7.4","PBS","Franz cell","Jss= 28.337±7.56 ug/(cm^2*h) kp 1.68*10^-2(cm/h) 1","","Swart, 2005","10.1016/j.ijpharm.2005.05.030"
"Flurbiprofen glucoside","OC1O[C@H](COC(=O)C(c2ccc(c(c2)F)c2ccccc2)C)[C@H]([C@@H]([C@H]1O)O)O","-6.477","Abdominoplasty","abdomen","epidermis","heat separation","-20","","0","37","7","PBS","37","7.4","PBS","Franz cell","Jss= 1.225±1.04 ug/(cm^2*h) kp 1.20*10^-3(cm/h) 5","","Swart, 2005","10.1016/j.ijpharm.2005.05.030"
"Flurbiprofen mannoside","OC1O[C@H](COC(=O)C(c2ccc(c(c2)F)c2ccccc2)C)[C@H]([C@@H]([C@@H]1O)O)O","-6.935","Abdominoplasty","abdomen","epidermis","heat separation","-20","","0","37","7","PBS","37","7.4","PBS","Franz cell","Jss= 0.479±0.52 ug/(cm^2*h) kp4.18*10^-4(cm/h) 6","","Swart, 2005","10.1016/j.ijpharm.2005.05.030"
"Glyphosate","OC(=O)CNCP(=O)(O)O","-6.894","Cadaver","","epidermis, dermis","dermatomed 1000um","","","0","37","","Water","37","7.4","PBS","Flow through cell","","","Wester, 1996","10.1016/0278-6915(96)00030-0"
"Haloperidol","Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)(O)c1ccc(cc1)Cl","-7.03","Cadaver","abdomen","epidermis","heat separation","-80","","0","37","","","37","","","Franz cell","","","Vaddi, 2001","10.1248/cpb.49.1395"
"Histidine","N[C@H](C(=O)O)Cc1c[nH]cn1","-7.907","Cadaver","thigh","epidermis, dermis","dermatomed 500um","-20","","0","","5","NaCl solution","37","7.3","NaCl solution","Glass diffusion cell","","","Sznitowska, 1993","10.1016/0378-5173(93)90321-6"
"Histidine","N[C@H](C(=O)O)Cc1c[nH]cn1","-7.812","Cadaver","thigh","epidermis, dermis","dermatomed 500um","-20","","0","","7.3","NaCl solution","37","7.3","NaCl solution","Glass diffusion cell","","","Sznitowska, 1993","10.1016/0378-5173(93)90321-6"
"Histidine","N[C@H](C(=O)O)Cc1c[nH]cn1","-7.903","Cadaver","thigh","epidermis, dermis","dermatomed 500um","-20","","0","","8.5","NaCl solution","37","7.3","NaCl solution","Glass diffusion cell","","","Sznitowska, 1993","10.1016/0378-5173(93)90321-6"
"Hydrocortisone","OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-7.481","Cadaver","abdomen","epidermis, dermis","fat removed","4","0.5","0","30","","Ethanol","37","","Ethanol","Franz cell","","","Hadgraft, 1987","10.1016/0378-5173(87)90210-9"
"Hydrocortisone","OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-7.195","Cadaver","abdomen, chest, back","epidermis","heat separation","5","7","0","","","","","","","Glass diffusion cell","","","Johnson, 1995","10.1002/jps.2600840922"
"Hydrocortisone","OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-9.079","","","epidermis","","","","0","26","","","26","","","","","","Scheuplein, 1969","10.1038/jid.1969.9"
"Hydrocortisone","OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-9.106","","abdomen","dermis","heat separation","-20","","0","25","","","25","","","Glass diffusion cell","","kp value obtained using steady-state model I reported in publication","Siddiqui, 1989","10.1007/bf01061455"
